genome	Clade1	type	Subclade	Family	Genus	Species	original_Subclade	original_Subgroup	original_Family	original_Genus	original_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
AG-313-A04	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-918-N23	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB058	II	isolate	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	regressus	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	malulaniensis	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-F15	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-453-G04	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-891-O15	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-F18	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-287-C13	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-910-G11	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-919-F21	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-K20	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAG-MED28	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-337-E15	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-911-G13	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-913-I06	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	direct_literature	topology_provisional	topology_provisional	NA	1003	1009	NA	NA	1018	1012	1	0.87	NA	NA	0.63	1	0.87	NA	0.63	NA	NA	NA
AG-914-J05	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-918-M15	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-919-M05	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-912-P19	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-E17	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-914-N11	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	direct_literature	topology_provisional	topology_provisional	NA	1005	1009	NA	NA	1015	1010	0.84	0.87	NA	NA	0.67	0.87	0.84	NA	0.67	NA	NA	NA
AH-321-I23	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	direct_literature	topology_provisional	topology_provisional	NA	1008	991	NA	NA	1010	1003	0.8	1	NA	NA	0.85	1	0.8	NA	0.85	NA	NA	NA
AG-422-K17	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	direct_literature	topology_provisional	topology_provisional	NA	1003	1007	NA	NA	1016	1008	1	0.87	NA	NA	0.59	0.98	0.87	NA	0.59	NA	NA	NA
AG-913-I14	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-903-M21	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH-287-E19	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-E14	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	direct_literature	topology_provisional	topology_provisional	NA	1006	1013	NA	NA	1012	1015	0.61	0.98	NA	NA	0.51	1	0.61	NA	0.51	NA	NA	NA
AG-919-I13	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-E14	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	direct_literature	topology_provisional	topology_provisional	NA	1006	1013	NA	NA	1013	1015	0.61	0.98	NA	NA	0.76	1	0.61	NA	0.76	NA	NA	NA
AG-914-I16	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	direct_literature	topology_provisional	topology_provisional	NA	1006	1013	NA	NA	1014	1016	0.61	0.98	NA	NA	0.92	0.98	0.61	NA	0.92	NA	NA	NA
AG-325-E13	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	direct_literature	topology_high	topology_high	NA	1020	1020	NA	NA	1022	1021	1	1	NA	NA	1	1	1	NA	1	NA	NA	NA
AG-390-C22	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	direct_literature	topology_high	topology_high	NA	1020	1020	NA	NA	1022	1022	1	1	NA	NA	1	1	1	NA	1	NA	NA	NA
AG-390-M15	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAG-MED05	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-461-E04	II	SAG	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	IIa.B	IIa.B	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Freel et al. 2025 IIa.A/IIa.B classification	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPC289	III	MAG	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	NA	Curated Clade III classification in Lanclos/Fernandes framework	Curated Clade III subgroup + Freel et al. 2025 taxonomy	Curated Clade III subgroup + Freel et al. 2025 taxonomy	NA	retained_curated	retained_curated	retained_curated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED1116	III	MAG	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SP27	III	MAG	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	NA	Curated Clade III classification in Lanclos/Fernandes framework	Curated Clade III subgroup + Freel et al. 2025 taxonomy	Curated Clade III subgroup + Freel et al. 2025 taxonomy	NA	retained_curated	retained_curated	retained_curated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB109	III	isolate	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	longiformis	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	NA	Curated Clade III classification in Lanclos/Fernandes framework	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	retained_curated	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB114	III	isolate	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	longiformis	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	koolaupokoensis	Lanclos et al. 2023 used genome	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1565	III	isolate	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	longiformis	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	NA	Curated Clade III classification in Lanclos/Fernandes framework	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	retained_curated	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1517	III	isolate	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	longiformis	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	NA	Curated Clade III classification in Lanclos/Fernandes framework	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	retained_curated	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSUCC0723	III	isolate	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSUCC0664	III	isolate	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	IIIa.1	IIIa.1	Allofontibacteraceae	Elongatapelagibacter	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-A09	III	SAG	IIIa.2	Fontibacteriaceae	NA	NA	IIIa.2	IIIa.2	Allofontibacteraceae	NA	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-907-B09	III	SAG	IIIa.2	Fontibacteriaceae	NA	NA	IIIa.2	IIIa.2	Allofontibacteraceae	NA	NA	Curated Clade III classification in Lanclos/Fernandes framework	Curated Clade III subgroup + Freel et al. 2025 taxonomy	NA	NA	retained_curated	retained_curated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED602	III	MAG	IIIa.2	Fontibacteriaceae	NA	NA	IIIa.2	IIIa.2	Allofontibacteraceae	NA	NA	Curated Clade III classification in Lanclos/Fernandes framework	Curated Clade III subgroup + Freel et al. 2025 taxonomy	NA	NA	retained_curated	retained_curated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMCC9063	III	isolate	IIIa.3	Fontibacteriaceae	NA	NA	IIIa.3	IIIa.3	Allofontibacteraceae	NA	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSUCC0261	III	isolate	IIIa.3	Fontibacteriaceae	NA	NA	IIIa.3	IIIa.3	Allofontibacteraceae	NA	NA	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSUCC0530	III	isolate	IIIb.16	Fontibacteriaceae	Fontibacterium	commune	IIIb	IIIb.16_LD12	Allofontibacteraceae	Allofontibacter	communis	Fernandes et al. 2025 genomes	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-33	III	isolate	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	IIIb	IIIb.8	Allofontibacteraceae	Allofontibacter	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-31	III	isolate	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	IIIb	IIIb.8	Allofontibacteraceae	Allofontibacter	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-17	III	isolate	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	IIIb	IIIb.8	Allofontibacteraceae	Allofontibacter	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-20	III	isolate	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	IIIb	IIIb.8	Allofontibacteraceae	Allofontibacter	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-18	III	isolate	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	IIIb	IIIb.8	Allofontibacteraceae	Allofontibacter	medardense	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MiE-29	III	isolate	IIIb.9	Fontibacteriaceae	Fontibacterium	abundans	IIIb	IIIb.9	Allofontibacteraceae	Allofontibacter	abundans	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MKE-138	III	isolate	IIIb.9	Fontibacteriaceae	Fontibacterium	abundans	IIIb	IIIb.9	Allofontibacteraceae	Allofontibacter	abundans	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-337-G06	IV	SAG	IV	NA	NA	NA	IV	IV	NA	NA	NA	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-A11	IV	SAG	IV	NA	NA	NA	IV	IV	NA	NA	NA	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-900-K14	IV	SAG	IV	NA	NA	NA	IV	IV	NA	NA	NA	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-B15	IV	SAG	IV	NA	NA	NA	IV	IV	NA	NA	NA	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-439-D15	IV	SAG	IV	NA	NA	NA	IV	IV	NA	NA	NA	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-896-A02	IV	SAG	IV	NA	NA	NA	IV	IV	NA	NA	NA	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-O02	IV	SAG	IV	NA	NA	NA	IV	IV	NA	NA	NA	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
