genome	Clade1	Clade2	Subclade	Subgroup	Family	Genus	Species	Order	reference	type_strain_Freel_2024	type	depth	latitude	longitude	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source	completeness	contamination	coding_density	checkm2_contig_n50	checkm2_average_gene_length	checkm2_genome_size	checkm2_total_coding_sequences	checkm2_total_contigs	checkm2_max_contig_length	N_ARSC	C_ARSC	S_ARSC	GC	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
HIMB109	III	IIIa	IIIa.1	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	longiformis	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.52735	-157.80912	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	NCBI BioSample SAMN44088532; Freel et al. (2024)	90.99	0.12	0.965	135720	296.4594363791631	1075874	1171	14	275500	0.335876	3.122919	0.031582	29.95	Curated Clade III classification in Lanclos/Fernandes framework	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	retained_curated	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB114	III	IIIa	IIIa.1	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	longiformis	Pelagibacterales	Brandon M.S. thesis (2006)	TRUE	isolate	2	21.43545	-157.77755	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Coordinate in table; Brandon M.S. thesis (2006)	99.96	0.04	0.965	1237371	301.78155706727136	1237371	1323	1	1237371	0.338697	3.141732	0.031033	29.59	Lanclos et al. 2023 used genome	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1565	III	IIIa	IIIa.1	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	longiformis	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	NCBI BioSample SAMN44088572; Freel et al. (2024)	99.97	0.05	0.965	1064769	301.6423690205011	1231642	1317	4	1064769	0.337996	3.129361	0.031135	29.77	Curated Clade III classification in Lanclos/Fernandes framework	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	retained_curated	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1517	III	IIIa	IIIa.1	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	longiformis	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	NCBI BioSample SAMN44088560; Freel et al. (2024)	99.97	5.17	0.965	109563	296.5124633431085	1254225	1364	22	267052	0.339156	3.131363	0.031458	29.77	Curated Clade III classification in Lanclos/Fernandes framework	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	retained_curated	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSUCC0723	III	IIIa	IIIa.1	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	Pelagibacterales	Lanclos et al., (2023)	NA	isolate	1	29.760164	-93.340159	0-100m	northern_temperate	NA	NA	brackish	Calcasieu Jetties, Cameron, Louisiana	NCBI BioSample SAMN30087847; Lanclos et al. (2023)	99.99	0.04	0.961	1204848	295.93048128342247	1204848	1309	1	1204848	0.341566	3.147962	0.031123	29.45	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSUCC0664	III	IIIa	IIIa.1	IIIa.1	Fontibacteriaceae	Elongatipelagibacter	NA	Pelagibacterales	Lanclos et al., (2023)	NA	isolate	1	29.760164	-93.340159	0-100m	northern_temperate	NA	NA	brackish	Calcasieu Jetties, Cameron, Louisiana	NCBI BioSample SAMN30087846; Lanclos et al. (2023)	99.98	0	0.963	1170396	300.13375796178343	1170396	1256	1	1170396	0.339284	3.134723	0.030373	30.19	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-A09	III	IIIa	IIIa.2	IIIa.2	Fontibacteriaceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean near Bermuda	Marine BioSample metadata; coordinate in table; Pachiadaki et al. (2019)	85.59	0.05	0.966	163305	296.86545801526717	962553	1048	16	212939	0.349175	3.159802	0.031475	29.41	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-907-B09	III	IIIa	IIIa.2	IIIa.2	Fontibacteriaceae	NA	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean near Bermuda	Marine BioSample metadata; coordinate in table; Pachiadaki et al. (2019)	85.09	0.02	0.962	209481	295.4624652455978	990043	1079	15	355943	0.349434	3.153606	0.031168	29.59	Curated Clade III classification in Lanclos/Fernandes framework	Curated Clade III subgroup + Freel et al. 2025 taxonomy	NA	NA	retained_curated	retained_curated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED602	III	IIIa	IIIa.2	IIIa.2	Fontibacteriaceae	NA	NA	Pelagibacterales	Tully et al. (2018)	NA	MAG	NA	NA	NA	NA	NA	NA	NA	marine	Mediterranean Sea	NCBI BioSample SAMN07619618; Tully et al. (2018) metagenomic assembly	99.63	6.34	0.957	64415	274.609211126311	1879045	2193	60	293646	0.348615	3.081954	0.031288	31.75	Curated Clade III classification in Lanclos/Fernandes framework	Curated Clade III subgroup + Freel et al. 2025 taxonomy	NA	NA	retained_curated	retained_curated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IMCC9063	III	IIIa	IIIa.3	IIIa.3	Fontibacteriaceae	NA	NA	Pelagibacterales	Oh et al., (2011)	NA	isolate	NA	79.001944	11.309167	NA	northern_polar	NA	NA	brackish_coastal	Coastal waters near Ny-Alesund, Kongsfjorden, Svalbard	Oh et al. (2011): isolated from coastal surface seawater near Ny-Alesund; Dupont et al. (2014) and Lanclos et al. (2023): IMCC9063/IIIa.3 classified as brackish- or mesohaline-adapted	100	1.69	0.948	1284727	286.2331460674157	1284727	1424	1	1284727	0.331692	3.126172	0.031889	31.67	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSUCC0261	III	IIIa	IIIa.3	IIIa.3	Fontibacteriaceae	NA	NA	Pelagibacterales	Lanclos et al., (2023)	NA	isolate	1	29.760164	-93.340159	0-100m	northern_temperate	NA	NA	brackish	Calcasieu Jetties, Cameron, Louisiana	NCBI BioSample SAMN30087845; Lanclos et al. (2023)	99.99	0	0.956	1270890	305.390977443609	1270890	1330	1	1270890	0.333416	3.135757	0.032092	30.46	Lanclos et al. 2023 used genome	Lanclos et al. 2023 subgroup + Freel et al. 2025 taxonomy	NA	NA	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSUCC0530	III	IIIb	IIIb.16	IIIb.16	Fontibacteriaceae	Fontibacterium	commune	Pelagibacterales	Henson et al., (2018)	TRUE	isolate	1	29.872035	-89.672819	0-100m	northern_temperate	NA	NA	freshwater_oligohaline	Lake Borgne, Louisiana	NCBI BioSample SAMN07786750; Henson et al. (2018)	99.88	0.03	0.957	1160202	301.4021121039805	1160202	1231	1	1160202	0.342844	3.17429	0.028811	29.02	Fernandes et al. 2025 genomes	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-33	III	IIIb	IIIb.8	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Pelagibacterales	Fernandes et al., (2025)	NA	isolate	5	50.1794	12.587602	0-100m	northern_temperate	NA	NA	freshwater_lake	Lake Medard, Czechia	Fernandes et al. (2025) Supplementary Table 2	99.31	0	0.954	1112841	296.1711185308848	1112841	1198	1	1112841	0.344933	3.157253	0.028826	29.26	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-31	III	IIIb	IIIb.8	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Pelagibacterales	Fernandes et al., (2025)	NA	isolate	5	50.1794	12.587602	0-100m	northern_temperate	NA	NA	freshwater_lake	Lake Medard, Czechia	Fernandes et al. (2025) Supplementary Table 2	99.44	0	0.957	1102656	299.35568760611204	1102656	1178	1	1102656	0.343932	3.159779	0.028956	29.34	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-17	III	IIIb	IIIb.8	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Pelagibacterales	Fernandes et al., (2025)	NA	isolate	5	50.1794	12.587602	0-100m	northern_temperate	NA	NA	freshwater_lake	Lake Medard, Czechia	Fernandes et al. (2025) Supplementary Table 2	98.8	0.01	0.954	1059009	292.77209705372616	1059009	1154	1	1059009	0.343918	3.14749	0.029	29.61	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-20	III	IIIb	IIIb.8	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Pelagibacterales	Fernandes et al., (2025)	NA	isolate	5	50.1794	12.587602	0-100m	northern_temperate	NA	NA	freshwater_lake	Lake Medard, Czechia	Fernandes et al. (2025) Supplementary Table 2	99.17	0	0.955	1078651	298.5888985255854	1078651	1153	1	1078651	0.341805	3.141218	0.029263	29.7	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ME-18	III	IIIb	IIIb.8	IIIb.8	Fontibacteriaceae	Fontibacterium	medardense	Pelagibacterales	Fernandes et al., (2025)	NA	isolate	5	50.1794	12.587602	0-100m	northern_temperate	NA	NA	freshwater_lake	Lake Medard, Czechia	Fernandes et al. (2025) Supplementary Table 2	97.85	0	0.955	1087980	296.5909479077711	1087980	1171	1	1087980	0.343329	3.147268	0.029124	29.5	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MiE-29	III	IIIb	IIIb.9	IIIb.9	Fontibacteriaceae	Fontibacterium	abundans	Pelagibacterales	Fernandes et al., (2025)	NA	isolate	5	50.653611	13.944444	0-100m	northern_temperate	NA	NA	freshwater_lake	Lake Milada, Czechia	Fernandes et al. (2025) Supplementary Table 2	99.06	0.07	0.952	1107443	296.43818334735073	1107443	1189	1	1107443	0.344021	3.153333	0.028957	29.43	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MKE-138	III	IIIb	IIIb.9	IIIb.9	Fontibacteriaceae	Fontibacterium	abundans	Pelagibacterales	Fernandes et al., (2025)	NA	isolate	0.5	50.066111	13.932222	0-100m	northern_temperate	NA	NA	freshwater_lake	Klicava Reservoir, Czechia	Fernandes et al. (2025) Supplementary Table 2	97.59	0.01	0.957	1065806	298.09448818897636	1065806	1143	1	1065806	0.342216	3.145884	0.029196	29.62	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	Fernandes et al. 2025 genomes	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-337-G06	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	14	-26.25	-103.96	0-100m	southern_temperate	SPSG	Westerlies - S. Pacific Subtropical Gyre Province	marine	South Pacific Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst SPSG; inferred waterbody South Pacific Ocean	93.19	0.01	0.96	142625	309.04245640636844	1270863	1319	20	250344	0.325048	3.060245	0.034256	33.46	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-A11	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	85.36	0.1	0.96	165963	306.9754098360656	1283612	1342	30	202774	0.328163	3.067619	0.034008	33.39	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-900-K14	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	93.81	0.01	0.959	243423	302.0454884414616	1263973	1341	18	295017	0.327123	3.060328	0.034206	33.32	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-B15	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	58	24	-22	0-100m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	85.54	0.08	0.96	53510	301.74290627687014	1093635	1163	36	180708	0.326144	3.05888	0.03442	33.34	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-439-D15	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	72	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	86.4	0.02	0.961	55441	297.2578313253012	1151845	1245	38	155107	0.328982	3.058882	0.03415	33.4	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-896-A02	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	92.25	0	0.962	281736	307.8295719844358	1230581	1285	23	376060	0.329764	3.063916	0.033628	33.04	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-899-O02	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	90.11	0	0.96	133882	304.9724540901502	1138916	1198	31	168312	0.330568	3.067762	0.034074	33.23	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-905-D16	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	94.63	0	0.963	127676	309.5255140898705	1262458	1313	17	335377	0.330754	3.062115	0.033902	33.18	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-895-F07	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	91.97	0.03	0.962	133292	305.5161048689139	1269476	1335	15	414396	0.329895	3.070305	0.034083	33.01	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-920-L11	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	97.75	0.01	0.961	156592	306.726090283091	1247720	1307	19	198324	0.330656	3.063586	0.033945	33.07	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-909-G09	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	91.38	0	0.96	108982	306.96130500758727	1260503	1318	23	171580	0.328865	3.067152	0.033971	33.07	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-919-N17	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	86.07	0.01	0.961	99061	300.39829787234044	1099060	1175	36	133513	0.328343	3.077739	0.033728	32.79	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-C21	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	58	24	-22	0-100m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	98.1	0.01	0.966	254042	310.04801200300074	1280892	1333	10	541100	0.32755	3.062741	0.033876	33.12	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-911-E02	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	94.56	0.06	0.961	198078	309.4798136645963	1240899	1288	34	362254	0.328851	3.066432	0.033955	33.08	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-893-M03	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87.01	0	0.962	190167	313.24457741211666	1302271	1337	17	321709	0.327782	3.060057	0.033706	33.28	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-892-M06	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	90.32	0.01	0.963	297071	307.9976833976834	1239125	1295	10	467395	0.331557	3.075012	0.03321	32.8	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-891-J04	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	100	0.07	0.962	445611	309.70192994996427	1348324	1399	9	660135	0.330153	3.072772	0.034156	32.97	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-426-I21	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean	90.53	0.01	0.961	122682	310.19044006069805	1272694	1318	19	336904	0.328477	3.059004	0.034691	33.22	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-901-G03	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	88.78	0	0.961	111576	300.5086342229199	1192378	1274	29	235169	0.331975	3.079898	0.034329	32.9	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-919-P09	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87.55	0.07	0.959	122746	302.3546798029557	1148886	1218	25	301332	0.331853	3.083227	0.033968	32.75	Retained legacy classification outside harmonization scope	NA	NA	NA	retained_legacy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
